pmr,num_malicious,epoch,ma,clean_accuracy,unseen_accuracy,asr
0.4,12,12,0.9398,0.9398,0.9393,0.0012
0.4,12,13,0.9411,0.9411,0.9412,0.0011
0.4,12,14,0.9392,0.9392,0.9374,0.001
0.4,12,15,0.9413,0.9413,0.9374,0.0009
0.4,12,16,0.9404,0.9404,0.9393,0.0009
0.4,12,17,0.9409,0.9409,0.9374,0.0009
0.4,12,18,0.9414,0.9414,0.945,0.001
0.4,12,19,0.942,0.942,0.9431,0.0007
0.4,12,20,0.9396,0.9396,0.945,0.0009
0.4,12,21,0.9413,0.9413,0.9469,0.0008
0.4,12,22,0.9383,0.9383,0.9393,0.001
0.4,12,23,0.9415,0.9415,0.9545,0.001
0.4,12,24,0.9413,0.9413,0.9583,0.0009
0.4,12,25,0.9409,0.9409,0.9583,0.0006
0.4,12,26,0.9402,0.9402,0.9545,0.0008
0.4,12,27,0.9431,0.9431,0.9583,0.0006
0.4,12,28,0.9425,0.9425,0.9545,0.0006
0.4,12,29,0.9418,0.9418,0.962,0.0005
0.4,12,30,0.9411,0.9411,0.9602,0.0006
