model,unseen_ratio,condition,status,epochs_completed,final_ma,final_clean_accuracy,final_unseen_accuracy,final_asr,best_ma,best_unseen_accuracy,min_asr,log_file
googlenet,0.4,attack_defense,completed,30,0.9428,0.9428,0.7343,0.0,0.9475,0.7666,0.0,Defense/googlenet_unseen_ratio_runs/googlenet_unseen_0.4_attack_defense/stdout.log
googlenet,0.6,attack_defense,completed,30,0.943,0.943,0.9374,0.0,0.9458,0.9374,0.0,Defense/googlenet_unseen_ratio_runs/googlenet_unseen_0.6_attack_defense/stdout.log
googlenet,0.8,attack_defense,completed,30,0.9314,0.9314,0.0892,0.0,0.9348,0.186,0.0,Defense/googlenet_unseen_ratio_runs/googlenet_unseen_0.8_attack_defense/stdout.log
googlenet,1.0,attack_defense,completed,30,0.9247,0.9247,0.0949,0.0,0.9313,0.241,0.0,Defense/googlenet_unseen_ratio_runs/googlenet_unseen_1.0_attack_defense/stdout.log
