num_clients,unseen_clients,unseen_client_ratio,unseen_data_ratio,malicious_clients,pmr,poison_rate,dataset,model,epochs,status,epochs_completed,final_ma,final_clean_accuracy,final_unseen_accuracy,final_asr,log_file
5,1,0.2,0.7,1,0.2,0.8,GTSRB,ResNet18,30,completed,30,0.9432,0.9432,0.9165,0.9121,client_count_no_defense_runs/clients_0005/stdout.log
10,2,0.2,0.7,1,0.1,0.8,GTSRB,ResNet18,30,completed,30,0.9468,0.9468,0.9431,0.692,client_count_no_defense_runs/clients_0010/stdout.log
15,3,0.2,0.7,2,0.13333333333333333,0.8,GTSRB,ResNet18,30,completed,30,0.9457,0.9457,0.9374,0.7655,client_count_no_defense_runs/clients_0015/stdout.log
20,4,0.2,0.7,2,0.1,0.8,GTSRB,ResNet18,30,completed,30,0.9521,0.9521,0.9393,0.2459,client_count_no_defense_runs/clients_0020/stdout.log
25,5,0.2,0.7,2,0.08,0.8,GTSRB,ResNet18,30,completed,30,0.9419,0.9419,0.9184,0.514,client_count_no_defense_runs/clients_0025/stdout.log
30,6,0.2,0.7,3,0.1,0.8,GTSRB,ResNet18,30,completed,30,0.9448,0.9448,0.9241,0.4828,client_count_no_defense_runs/clients_0030/stdout.log
40,8,0.2,0.7,4,0.1,0.8,GTSRB,ResNet18,30,completed,30,0.9318,0.9318,0.9279,0.5578,client_count_no_defense_runs/clients_0040/stdout.log
